article_id,article_version,hcpc_code_group,paragraph,last_updated
54061,23,1,,2025-12-22 15:12:01.497000
54095,68,1,"<p><br />Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.<br /><br /><strong>Electromyography of Anal or Urethral Sphincter</strong></p>
<p>&nbsp;</p>",2025-09-26 17:04:49.410000
54095,68,2,<p><strong><br />Needle Electromyography for Guidance in Conjunction with Chemodenervation<br /><br /></strong></p>,2025-09-26 17:04:49.480000
54095,68,3,<p><strong><br />Needle Electromyography and Nerve Conduction Studies<br /><br /></strong></p>,2025-09-26 17:04:49.490000
54095,68,4,<p><strong><br />Neuromuscular Junction Testing<br /><br /></strong></p>,2025-09-26 17:04:49.553000
54095,68,5,<p><strong><br />Needle Electromyography of the Larynx<br /><br /></strong></p>,2025-09-26 17:04:49.563000
54095,68,6,<p><strong><br />Single Fiber Electromyography<br /><br /></strong></p>,2025-09-26 17:04:49.573000
54095,68,7,"<p>To bill the following non-covered services/tests, report CPT code 95999 appended with the GY modifier. When submitting claims, providers must provide a description of the service/test in the narrative/remarks field (Item 19) on the CMS-1500 claim form or the electronic equivalent: <strong>1)</strong> Non-invasive EDX testing using portable hand-held devices or automated point of care nerve conduction monitoring systems, which are incapable of real-time waveform display and analysis <strong>2) </strong>Psychophysical measurements (electrical, vibratory or thermal perceptions), even though they may involve delivery of a stimulus, are considered part of the physical examination and may not be reported as a separate service <strong>3) </strong>Physiologic recording of movement disorder symptoms, including bradykinesia, dyskinesia, and tremor using wearable devices with accelerometers or gyroscopes 4<strong>) </strong>Needle electromyography (NEMG) for Surface electromyography (SEMG) or Macroelectromyography (macro-EMG).<br /><br /><strong>The following CPT codes are Non-Covered:<br /><br /></strong></p>",2025-09-26 17:04:49.583000
54111,50,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.<br /><br />The following CPT/HCPCS codes associated with the services outlined in this policy will not have diagnosis code limitations applied at this time: 96125, 97110, 97530, 97533, 97535, 97129, and 97130.</p>",2025-09-26 17:14:51.340000
54111,50,2,<p><b>Non-Covered Services</b></p>,2025-09-26 17:14:51.393000
54117,88,1,"<p><strong>Note</strong>: Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>
<p>The following CPT/HCPCS codes outlined in this Billing and Coding Article will not have diagnosis code limitations applied at this time.</p>",2026-01-23 13:39:50.903000
54188,33,1,<p>For DOS prior to 01/01/2016 CPT code 81479 should be used.</p>,2024-08-28 20:13:45.927000
54191,27,1,,2023-11-08 18:44:29.910000
54192,22,1,,2024-05-29 21:01:58.687000
54194,23,1,,2023-11-14 18:27:56.877000
54195,22,1,,2023-11-15 12:11:05.550000
54196,20,1,,2023-11-15 12:12:26.460000
54257,14,1,,2023-11-08 16:53:27.473000
54269,14,1,,2023-11-14 18:04:43.203000
54270,16,1,,2023-11-14 18:06:31.810000
54270,16,2,"<p><span style=""line-height: 115%;"">CPT<sup><span style=""font-size: small;"">&reg;</span></sup> codes that are also referenced in other articles</span>.</p>",2023-11-14 18:06:31.823000
54283,15,1,,2023-11-15 12:26:18.460000
54295,27,1,<p>N/A</p>,2023-11-10 16:31:04.913000
54300,16,1,,2023-11-07 15:46:52.050000
54327,7,1,,2023-11-07 15:11:38.727000
54338,55,1,"<p><span style=""line-height: 115%;"">CPT<sup>&reg;</sup> codes that are also referenced in other articles</span>.</p>",2025-08-29 17:41:29.980000
54386,38,1,<p>N/A</p>,2026-02-09 16:51:04.810000
54418,28,1,<p>N/A</p>,2026-02-09 16:51:05.263000
54422,21,1,<p>N/A</p>,2026-02-09 16:51:05.450000
54445,27,1,<p>N/A</p>,2026-02-09 16:51:06.813000
54472,30,1,,2023-02-20 19:12:21.910000
54480,16,1,,2026-02-09 16:51:07.307000
54484,13,1,,2026-02-09 16:51:07.437000
54498,24,1,<p>N/A</p>,2026-02-09 16:51:05.693000
54516,48,1,,2026-04-08 14:06:14.307000
54543,21,1,,2025-10-27 12:06:25.077000
54548,36,1,"<p>HCPCS code J1300 should be used to report eculizumab, effective 01/01/2025 through 03/31/2025.</p>
<p>HCPCS code J1300 has been deleted and replaced by HCPCS codes J1299, effective 4/1/2025.</p>
<p>HCPCS code Q5139 should be used to report eculizumab-aeeb, effective 01/01/2025 through 03/31/2025.</p>
<p>HCPCS code Q5139 has been deleted and replaced by HCPCS codes Q5152, and should be used to report eculizumab-aeeb, effective 4/1/2025.</p>
<p>HCPCS code Q5151 has been added and should be used to report eculixumab-aagh, effective 4/1/2025.</p>
<p>Effective for dates of service on or after 05/01/2021, the administration of eculizumab should be billed using the intravenous infusion administration codes (Refer to article A58620 - Billing and Coding: Complex Drug Administration Coding).</p>
<p>For dates of service prior to 05/01/2021, administration of eculizumab may be billed using the chemotherapy administration code 96413 - Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug and 96415 - Chemotherapy administration, intravenous infusion technique; each additional hour (List separately in addition to code for primary procedure) when required due to infusion related adverse reactions in adults (up to 2 hours total) or when used in pediatric or aged Medicare beneficiaries (up to 4 hours total).</p>",2026-07-14 22:42:59.443000
54555,18,1,,2024-01-12 16:25:49.403000
54559,12,1,,2021-08-30 15:52:16.330000
54563,54,1,,2024-11-25 13:05:37.633000
54602,25,1,,2026-07-14 22:43:03.120000
54610,3,1,,2023-11-07 12:31:09.620000
54611,5,1,,2023-11-07 12:27:57.350000
54612,4,1,,2023-11-15 17:57:45.780000
54613,3,1,,2023-11-07 12:27:00.803000
54635,31,1,<p>N/A</p>,2025-09-16 14:35:04.697000
54641,13,1,,2023-11-17 12:43:00.320000
54643,13,1,,2023-11-17 12:44:31.580000
54660,14,1,,2026-02-23 13:14:48.630000
54682,34,1,<p><strong>Part B Providers</strong></p>,2024-01-25 15:14:26.190000
54682,34,2,<p><strong>Outpatient Hospital Providers</strong></p>,2024-01-25 15:14:26.203000
54685,17,1,,2023-11-08 15:22:47.897000
54686,22,1,,2024-09-14 23:02:26.823000
54686,22,2,"<p><p style=""line-height: 98%;""><span style=""line-height: 98%;"">The following should be reported for ABL1 Kinase Domain Mutation Analysis for the detection of acquired imatinib tyrosine kinase inhibitor resistance.</span></p></p>",2024-09-14 23:02:26.840000
54688,23,1,,2023-11-08 18:48:22.173000
54689,32,1,"<p><span style=""line-height: 115%;"">CPT<sup>&reg;</sup> codes that are also referenced in other articles</span>.</p>",2023-11-07 18:21:10.823000
54750,13,1,<p>CPT/HCPCS Codes</p>,2019-10-28 17:04:55.103000
54767,71,1,<p>CPT<sup>&reg;</sup> Codes</p>,2026-05-01 12:54:08.983000
54767,71,2,<p>HCPCS Codes</p>,2026-05-01 12:54:09.133000
54768,38,1,,2025-08-14 14:11:33.513000
54769,27,1,,2022-01-18 13:00:18.270000
54795,42,1,<p>N/A</p>,2024-03-15 10:14:22.797000
54799,67,1,,2026-05-01 12:53:39.923000
54812,7,1,,2018-01-31 21:52:24.380000
54830,9,1,,2024-04-05 20:59:32.497000
54831,28,1,<p>Group 1 CPT codes apply to Groups 1 and 2&nbsp;ICD-10-CM Codes</p>,2023-08-24 15:36:23.497000
54832,14,1,,2024-03-28 13:08:54.843000
54880,10,1,,2025-06-05 17:08:18.733000
54901,27,1,,2024-03-15 17:01:26.023000
54909,25,1,<p>Group 1 CPT codes apply to Groups 1 and 2 ICD-10-CM Codes</p>,2026-07-14 22:43:03.500000
54919,22,1,,2025-09-23 11:39:33.893000
54923,45,1,<p>N/A</p>,2026-01-22 14:31:42.710000
54923,45,2,<p>N/A</p>,2026-01-22 14:31:42.733000
54926,25,1,"<p><strong>Note:</strong> Providers are reminded to refer to the long descriptors of the CPT codes in their CPT book.</p>
<p>Group 1 CPT codes apply to Groups 1 and 2 ICD-10-CM Codes</p>",2025-05-09 14:50:07.563000
54929,40,1,<p>Group 1 CPT codes apply to Groups 1 and 2 ICD-10-CM Codes.</p>,2025-10-27 12:06:23.630000
54953,70,1,<p>See above</p>,2026-02-20 13:00:23.097000
